طبقه,زیربنا,خواب,تلفن,آشپزخانه,سرویس,کفپوش,OPEN,پارکینگ,انباری,بالکن,غربی,شرقی,شمالی,جنوبی,code
4,145,3,1,هایگلاس,ايراني فرنگي,سراميک,1,0,1,0,0,0,0,1,10264144
1,81,2,1,MDF,ايراني فرنگي,سراميک,1,0,0,1,0,0,1,0,3788864
همكف,75,2,1,MDF,ايرانی,سراميک,1,0,1,1,0,0,1,0,10269792
3,150,1,1,MDF,ايراني فرنگي,پارکت,1,0,0,0,0,0,1,0,10177720
2,117,2,یك,MDF,ايراني فرنگي,سنگ,1,0,1,0,0,0,0,1,10405475
3,55,1,0,MDF,ايراني فرنگي,سراميک,1,0,1,1,0,0,1,0,10132358
2,87,2,1,MDF,ايرانی,سراميک,0,0,1,0,0,0,1,0,10301092
5,158,3,1,MDF,ايراني فرنگي,سراميک,1,0,1,1,0,0,1,1,10270431
2,53,1,1,MDF,ايراني فرنگي,سراميک,1,0,1,0,0,0,1,0,10297716
3,50,1,1,MDF,ايراني فرنگي,سنگ,1,0,1,0,0,0,1,0,10332823
زیرهمكف,114,2,2,MDF,فرنگی,سراميک,0,0,0,0,0,0,1,0,2924045
1,100,3,0,MDF,ايراني فرنگي,سنگ,1,0,1,1,0,0,0,1,10243466
1,150,3,1,هایگلاس,ايراني فرنگي,سراميک,1,0,1,1,0,0,0,1,10347727
1,137,3,1,MDF,ايراني فرنگي,سراميک,1,0,1,0,0,0,0,1,10301738
4,65,2,1,MDF,ايرانی,سراميک,1,0,1,0,0,0,1,0,10405482
4,123,2,1,MDF,ايراني فرنگي,سنگ,1,0,1,0,0,0,1,0,10347713
4,230,3,1,چوبي,ايراني فرنگي,سنگ,0,0,1,0,0,0,0,0,10347429
4,116,2,1,MDF,ايراني فرنگي,سراميک,1,0,1,1,0,0,0,1,10405483
4,82,2,1,MDF,ايراني فرنگي,لامنيت,0,0,0,0,0,0,0,0,3888311
5,135,3,1,MDF,ايراني فرنگي,سنگ,1,0,1,1,0,0,1,1,10249934
3,100,2,1,MDF,ايراني فرنگي,سراميک,1,0,1,1,0,0,0,1,10199868
4,135,3,1,MDF,ايراني فرنگي,سنگ,1,0,1,1,0,0,0,1,10405486
9,87,2,1,MDF,ايراني فرنگي,سراميک,1,0,1,0,0,0,0,1,10334655
4,110,2,1,MDF,ايراني فرنگي,سراميک,1,0,1,1,0,0,0,1,10405488
1,248,4,1,MDF,ايراني فرنگي,سنگ,1,0,1,0,0,0,1,0,10405489
2,104,2,1,MDF,ايراني فرنگي,سراميک,1,0,1,0,0,0,1,0,10405494
2,62,1,0,هایگلاس,ايرانی,پارکت,1,0,1,0,0,0,0,1,10347542
5,216,3,2,MDF,ايراني فرنگي,سنگ,1,0,1,1,0,0,0,1,10040555
5,310,4,1,چوبي,ايراني فرنگي,پارکت سنگ,1,0,1,0,0,0,1,1,10271870
2,165,3,1,هایگلاس,ايراني فرنگي,سنگ,1,0,1,1,0,0,1,0,10187699
2,107,2,1,MDF,ايراني فرنگي,سنگ,1,0,1,1,0,0,0,1,10018181
13,135,2,1,MDF,ايراني فرنگي,سراميک,1,0,1,1,0,0,1,1,10176486
9,180,3,1,MDF,ايراني فرنگي,سراميک,1,0,1,1,0,0,1,1,10243801
2,47,1,1,MDF,ايرانی,سراميک,1,0,1,0,1,1,0,0,10405504
2,92,2,1,MDF,ايرانی,پارکت,1,0,1,0,0,0,0,1,10335091
4,58,1,1,MDF,ايرانی,سراميک,1,0,0,0,0,0,0,1,10405510
3,51,1,1,MDF,ايرانی,سراميک,1,0,1,1,0,0,0,1,10405511
3,126,3,1,MDF,ايراني فرنگي,سراميک,1,0,1,0,0,0,0,1,10334762
1,120,3,1,MDF,ايراني فرنگي,سنگ,1,0,1,1,0,0,1,0,10150568
1,51,1,1,MDF,ايرانی,سراميک,1,0,1,0,0,0,1,0,10259413
